Número;Nome;Partido/Coligação;Votos
70555;WILSON JUNIOR;PT do B - PSDB / PT do B;44
70770;DILMA MARIA;PT do B - PSDB / PT do B;44
70777;PROF, WALTER FAGUNDES;PT do B - PSDB / PT do B;145
70810;GLOVANE GOMES;PT do B - PSDB / PT do B;43
70888;MANU NUNES;PT do B - PSDB / PT do B;127
77000;JAILTON FEITOSA;SD;98
77001;JAIR DANTAS;SD;774
77007;LUCIO GUGU;SD;140
77010;HIRAM GARÇON;SD;37
77011;IVAN O TERRIVEL;SD;182
77016;MAURICIO FORMIGA;SD;219
77077;AUGUSTO VARELLA;SD;1251
77100;DANIELE SOUTO;SD;128
77111;NÚBIA BARBOSA;SD;773
77123;DIEGO OLIVEIRA;SD;1010
77142;EDER BRITO;SD;139
77177;TIAGO MOURA;SD;235
77190;SUBTENENTE ELIABE;SD;1516
77192;GILZA BRASIL;SD;44
77211;BAMBAM;SD;717
77217;HENRIQUE CÂMARA;SD;301
77222;PAULINHO FREIRE;SD;2884
77223;SARGENTO ANDREA;SD;90
77224;ANDRESA PRAXEDES;SD;7
77225;IRMÃ VERA;SD;524
77228;RITA DE CASSIA;SD;1
77250;BAYDR;SD;311
77258;SIRLIA;SD;161
77321;TICÃO PARAGUAI;SD;209
77333;ALEXANDRE MELO;SD;486
77444;ROBSON MACEDO;SD;108
77456;RAIMUNDO JORGE;SD;1527
77555;KLAUS ARAUJO;SD;2279
77567;KLEBER AQUINO;SD;208
77611;JAKSON CAPIXABA;SD;900
77654;RAQUEL;SD;27
77666;EUDIANE MACEDO;SD;4922
77678;ZEZINHO DO BOM PASTOR;SD;68
77700;GUSTAVO BRENDO;SD;384
77777;FLAVIO PEIXOTO;SD;1374
77788;CALIXTO DANTAS;SD;69
77789;FREIRE;SD;1008
77888;FULVIO;SD;1711
77890;ANDERSON LOPES;SD;1132
77930;WANESSA BARBOSA;SD;1
77931;JENNYFER LARISY;SD;3
77932;ADRIANA;SD;8
77999;DANIEL MARIZ;SD;258
90111;CARLA DICKSON OFTALMOLOGISTA;PROS - PDT / PMDB / PR / PROS / DEM / PSC;7924
90222;DR FABRICIO SERQUIZ;PROS - PDT / PMDB / PR / PROS / DEM / PSC;187
